video_id,query_id,query_text,time,detector_score,crop_score
video_01,q001,a man with a red backpack,77.0,0.27954399585723877,0.04380327835679054
video_01,q002,a cyclist,77.0,0.3895985186100006,0.08506110310554504
video_01,q003,a yellow car,77.0,0.4516581892967224,0.08906950801610947
video_01,q001,a man with a red backpack,78.0,0.26382753252983093,0.06306077539920807
video_01,q002,a cyclist,78.0,0.426281601190567,0.07466515898704529
video_01,q003,a yellow car,78.0,0.519477128982544,0.06284939497709274
video_01,q001,a man with a red backpack,79.0,0.25095924735069275,0.05701605975627899
video_01,q002,a cyclist,79.0,0.39644429087638855,0.08675834536552429
video_01,q003,a yellow car,79.0,0.5747168660163879,0.0638369470834732
video_01,q001,a man with a red backpack,80.0,0.0,
video_01,q002,a cyclist,80.0,0.0,
video_01,q003,a yellow car,80.0,0.44004589319229126,0.06418764591217041
video_01,q001,a man with a red backpack,81.0,0.0,
video_01,q002,a cyclist,81.0,0.26703888177871704,0.06913156807422638
video_01,q003,a yellow car,81.0,0.49466651678085327,0.06370127946138382
video_01,q001,a man with a red backpack,82.0,0.0,
video_01,q002,a cyclist,82.0,0.0,
video_01,q003,a yellow car,82.0,0.570369303226471,0.0660044476389885
video_01,q001,a man with a red backpack,83.0,0.0,
video_01,q002,a cyclist,83.0,0.0,
video_01,q003,a yellow car,83.0,0.678466260433197,0.06007133424282074
video_01,q001,a man with a red backpack,84.0,0.0,
video_01,q002,a cyclist,84.0,0.27913570404052734,0.062048569321632385
video_01,q003,a yellow car,84.0,0.60652756690979,0.06475737690925598
video_01,q001,a man with a red backpack,85.0,0.0,
video_01,q002,a cyclist,85.0,0.0,
video_01,q003,a yellow car,85.0,0.5536236763000488,0.06936948001384735
video_01,q001,a man with a red backpack,86.0,0.0,
video_01,q002,a cyclist,86.0,0.0,
video_01,q003,a yellow car,86.0,0.5811766386032104,0.0705193504691124
video_01,q001,a man with a red backpack,87.0,0.0,
video_01,q002,a cyclist,87.0,0.0,
video_01,q003,a yellow car,87.0,0.558547854423523,0.06763026118278503
video_01,q001,a man with a red backpack,88.0,0.0,
video_01,q002,a cyclist,88.0,0.25096458196640015,0.055536799132823944
video_01,q003,a yellow car,88.0,0.5767326354980469,0.10811122506856918
video_01,q001,a man with a red backpack,89.0,0.0,
video_01,q002,a cyclist,89.0,0.0,
video_01,q003,a yellow car,89.0,0.6575484871864319,0.06960549205541611
video_01,q001,a man with a red backpack,90.0,0.2504604458808899,0.029280729591846466
video_01,q002,a cyclist,90.0,0.38419628143310547,0.08072444796562195
video_01,q003,a yellow car,90.0,0.56035977602005,0.10017512738704681
video_01,q001,a man with a red backpack,91.0,0.28347447514533997,0.06142549216747284
video_01,q002,a cyclist,91.0,0.41043269634246826,0.08340060710906982
video_01,q003,a yellow car,91.0,0.6029184460639954,0.06436971575021744
video_01,q001,a man with a red backpack,92.0,0.3134444057941437,0.03569153696298599
video_01,q002,a cyclist,92.0,0.39648517966270447,0.060997385531663895
video_01,q003,a yellow car,92.0,0.6379773616790771,0.0993712842464447
video_01,q001,a man with a red backpack,93.0,0.0,
video_01,q002,a cyclist,93.0,0.3555033504962921,0.050961919128894806
video_01,q003,a yellow car,93.0,0.6722826957702637,0.10625383257865906
video_01,q001,a man with a red backpack,94.0,0.3946908116340637,0.05204165726900101
video_01,q002,a cyclist,94.0,0.3907480239868164,0.0861312672495842
video_01,q003,a yellow car,94.0,0.7789739966392517,0.09736276417970657
video_01,q001,a man with a red backpack,95.0,0.0,
video_01,q002,a cyclist,95.0,0.38635772466659546,0.09686823934316635
video_01,q003,a yellow car,95.0,0.7102369666099548,0.10360652953386307
video_01,q001,a man with a red backpack,96.0,0.0,
video_01,q002,a cyclist,96.0,0.4136348068714142,0.07395531237125397
video_01,q003,a yellow car,96.0,0.7131724953651428,0.0868707224726677
video_01,q001,a man with a red backpack,97.0,0.0,
video_01,q002,a cyclist,97.0,0.4148555397987366,0.048490867018699646
video_01,q003,a yellow car,97.0,0.8086643815040588,0.0933132916688919
video_01,q001,a man with a red backpack,98.0,0.30111080408096313,0.04679538309574127
video_01,q002,a cyclist,98.0,0.42736127972602844,0.08000725507736206
video_01,q003,a yellow car,98.0,0.7632821202278137,0.09221995621919632
video_01,q001,a man with a red backpack,99.0,0.0,
video_01,q002,a cyclist,99.0,0.40604472160339355,0.0855662077665329
video_01,q003,a yellow car,99.0,0.5052805542945862,0.09317204356193542
video_01,q001,a man with a red backpack,100.0,0.30763158202171326,0.053495168685913086
video_01,q002,a cyclist,100.0,0.3812655508518219,0.07195430994033813
video_01,q003,a yellow car,100.0,0.5819524526596069,0.08938135206699371
video_01,q001,a man with a red backpack,101.0,0.25411173701286316,0.01936456561088562
video_01,q002,a cyclist,101.0,0.4162916839122772,0.07690706104040146
video_01,q003,a yellow car,101.0,0.5719695091247559,0.08190436661243439
video_01,q001,a man with a red backpack,102.0,0.0,
video_01,q002,a cyclist,102.0,0.3275911808013916,0.08056564629077911
video_01,q003,a yellow car,102.0,0.5099409222602844,0.08358029276132584
video_01,q001,a man with a red backpack,103.0,0.0,
video_01,q002,a cyclist,103.0,0.4133285880088806,0.0763707160949707
video_01,q003,a yellow car,103.0,0.6093568801879883,0.0820719450712204
video_01,q001,a man with a red backpack,104.0,0.0,
video_01,q002,a cyclist,104.0,0.38474205136299133,0.09384018927812576
video_01,q003,a yellow car,104.0,0.538025975227356,0.08182267844676971
video_01,q001,a man with a red backpack,105.0,0.0,
video_01,q002,a cyclist,105.0,0.3587174117565155,0.07201451063156128
video_01,q003,a yellow car,105.0,0.4407865107059479,0.08230547606945038
video_01,q001,a man with a red backpack,106.0,0.0,
video_01,q002,a cyclist,106.0,0.35947975516319275,0.06905033439397812
video_01,q003,a yellow car,106.0,0.6014611721038818,0.09512795507907867
video_01,q001,a man with a red backpack,107.0,0.0,
video_01,q002,a cyclist,107.0,0.343599408864975,0.05880086496472359
video_01,q003,a yellow car,107.0,0.5721123814582825,0.06795917451381683
video_01,q001,a man with a red backpack,108.0,0.29343879222869873,0.053278181701898575
video_01,q002,a cyclist,108.0,0.3777616322040558,0.046983614563941956
video_01,q003,a yellow car,108.0,0.7407910227775574,0.07337017357349396
video_01,q001,a man with a red backpack,109.0,0.2918875515460968,0.04328850284218788
video_01,q002,a cyclist,109.0,0.36396661400794983,0.07495042681694031
video_01,q003,a yellow car,109.0,0.8046598434448242,0.0922263041138649
video_01,q001,a man with a red backpack,110.0,0.0,
video_01,q002,a cyclist,110.0,0.36952272057533264,0.08575490862131119
video_01,q003,a yellow car,110.0,0.7539699673652649,0.0906035527586937
video_01,q001,a man with a red backpack,111.0,0.0,
video_01,q002,a cyclist,111.0,0.3586346507072449,0.05848485976457596
video_01,q003,a yellow car,111.0,0.8100633025169373,0.08706485480070114
video_01,q001,a man with a red backpack,112.0,0.29313379526138306,0.09466008841991425
video_01,q002,a cyclist,112.0,0.41857248544692993,0.1314239501953125
video_01,q003,a yellow car,112.0,0.8855845928192139,0.09549777954816818
video_01,q001,a man with a red backpack,113.0,0.30950894951820374,0.07966490089893341
video_01,q002,a cyclist,113.0,0.5854823589324951,0.1356123983860016
video_01,q003,a yellow car,113.0,0.8746799230575562,0.0951632410287857
video_01,q001,a man with a red backpack,114.0,0.3288480341434479,0.078471839427948
video_01,q002,a cyclist,114.0,0.544131338596344,0.1326601505279541
video_01,q003,a yellow car,114.0,0.8986096382141113,0.08428262919187546
video_01,q001,a man with a red backpack,115.0,0.32775261998176575,0.061744049191474915
video_01,q002,a cyclist,115.0,0.5385948419570923,0.13575278222560883
video_01,q003,a yellow car,115.0,0.7112814784049988,0.06167744845151901
video_01,q001,a man with a red backpack,116.0,0.308942586183548,0.06860687583684921
video_01,q002,a cyclist,116.0,0.41589272022247314,0.12578924000263214
video_01,q003,a yellow car,116.0,0.6351950764656067,0.06016773730516434
video_01,q001,a man with a red backpack,117.0,0.3412070572376251,0.08077641576528549
video_01,q002,a cyclist,117.0,0.5020331144332886,0.1356055587530136
video_01,q003,a yellow car,117.0,0.6923657059669495,0.059755705296993256
video_01,q001,a man with a red backpack,118.0,0.37162771821022034,0.07667958736419678
video_01,q002,a cyclist,118.0,0.46239158511161804,0.13934484124183655
video_01,q003,a yellow car,118.0,0.7015540599822998,0.06618990749120712
video_01,q001,a man with a red backpack,119.0,0.3796543776988983,0.1112900823354721
video_01,q002,a cyclist,119.0,0.47908052802085876,0.1406841278076172
video_01,q003,a yellow car,119.0,0.6979836821556091,0.0630444586277008
video_01,q001,a man with a red backpack,120.0,0.3525329530239105,0.07111185044050217
video_01,q002,a cyclist,120.0,0.45448195934295654,0.13166622817516327
video_01,q003,a yellow car,120.0,0.71039217710495,0.06386198848485947
video_01,q001,a man with a red backpack,121.0,0.347292423248291,0.05739074572920799
video_01,q002,a cyclist,121.0,0.42294660210609436,0.1289958655834198
video_01,q003,a yellow car,121.0,0.7446447014808655,0.06492352485656738
video_01,q001,a man with a red backpack,122.0,0.3586619198322296,0.05673166736960411
video_01,q002,a cyclist,122.0,0.4114157259464264,0.12353543937206268
video_01,q003,a yellow car,122.0,0.7124748826026917,0.06549031287431717
video_01,q001,a man with a red backpack,123.0,0.3554282784461975,0.08025117218494415
video_01,q002,a cyclist,123.0,0.4408192038536072,0.12434323877096176
